iter	MultiClass	TotalF1:use_weights=true	TotalF1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false	MultiClass:use_weights=true	MultiClass:use_weights=false
77	0.1126128349	0.9845011296	0.9653149392	0.9846146128	0.9652160102	0.1126128349	0.1664791672
78	0.1109066631	0.9840849057	0.9649917984	0.9841984275	0.9648983482	0.1109066631	0.163610058
79	0.1096485362	0.9846564919	0.9657802579	0.9847687435	0.9656925032	0.1096485362	0.1618805647
80	0.1086938045	0.9843789273	0.9656177672	0.9844920364	0.9655336722	0.1086938045	0.1604493107
81	0.1073096573	0.9849270199	0.9662470015	0.9850355392	0.9661689962	0.1073096573	0.1583230148
82	0.1052670786	0.985519558	0.9673721746	0.9856205077	0.9672808132	0.1052670786	0.1558411933
83	0.1036544872	0.9856323215	0.9673747193	0.9857331728	0.9672808132	0.1036544872	0.1539940413
84	0.103115992	0.9852493072	0.9669006269	0.9853537119	0.9668043202	0.103115992	0.1531223761
85	0.1013936114	0.9861631712	0.9686272832	0.9862568531	0.9685514612	0.1013936114	0.1505090176
86	0.1000151986	0.9863476995	0.9691169329	0.9864355477	0.9690279543	0.1000151986	0.1488619175
87	0.09784769096	0.9872070577	0.9706938185	0.9872873119	0.9706162643	0.09784769096	0.1460669001
88	0.09626527862	0.9880196933	0.9716464099	0.9880995727	0.9715692503	0.09626527862	0.1438077756
89	0.0947667558	0.9894109566	0.9744978013	0.9894750173	0.9744282084	0.0947667558	0.1417370377
90	0.09323727257	0.9894793415	0.9740349736	0.9895462167	0.9739517154	0.09323727257	0.1397151892
91	0.09208299369	0.9890065608	0.9741851922	0.9890690304	0.9741105464	0.09208299369	0.1377173488
92	0.09170309621	0.9892834441	0.9743415573	0.9893457375	0.9742693774	0.09170309621	0.1370751597
93	0.09082820097	0.990010482	0.9753015589	0.990069897	0.9752223634	0.09082820097	0.1356640088
94	0.09021068541	0.990166424	0.9757645433	0.9902240277	0.9756988564	0.09021068541	0.1347136522
95	0.0893251126	0.9904358081	0.9762411824	0.9904908235	0.9761753494	0.0893251126	0.1337982153
96	0.08858892032	0.9905998924	0.9763980598	0.9906548655	0.9763341804	0.08858892032	0.1329259003
97	0.08741080275	0.9904563359	0.9768822069	0.9905057632	0.9768106734	0.08741080275	0.1305170488
98	0.08689185084	0.9903522636	0.9765701842	0.9904030094	0.9764930114	0.08689185084	0.129918244
99	0.08620963286	0.9904565181	0.976888913	0.9905057632	0.9768106734	0.08620963286	0.1292040508
